in s,C1 in V
-1.19020E-05,9.03320E-01
-1.19016E-05,8.05664E-01
-1.19012E-05,7.56836E-01
-1.19008E-05,7.08008E-01
-1.19004E-05,8.05664E-01
-1.19000E-05,7.56836E-01
-1.18996E-05,8.05664E-01
-1.18992E-05,9.03320E-01
-1.18988E-05,8.05664E-01
-1.18984E-05,7.56836E-01
-1.18980E-05,8.05664E-01
-1.18976E-05,8.05664E-01
-1.18972E-05,8.05664E-01
-1.18968E-05,1.04980E+00
-1.18964E-05,1.00098E+00
-1.18960E-05,1.04980E+00
-1.18956E-05,9.52148E-01
-1.18952E-05,1.04980E+00
-1.18948E-05,9.52148E-01
-1.18944E-05,9.52148E-01
-1.18940E-05,1.04980E+00
-1.18936E-05,1.00098E+00
-1.18932E-05,9.52148E-01
-1.18928E-05,9.03320E-01
-1.18924E-05,8.54492E-01
-1.18920E-05,9.03320E-01
-1.18916E-05,9.03320E-01
-1.18912E-05,8.05664E-01
-1.18908E-05,1.04980E+00
-1.18904E-05,1.00098E+00
-1.18900E-05,1.00098E+00
-1.18896E-05,9.03320E-01
-1.18892E-05,8.54492E-01
-1.18888E-05,8.54492E-01
-1.18884E-05,8.54492E-01
-1.18880E-05,7.56836E-01
-1.18876E-05,7.08008E-01
-1.18872E-05,7.08008E-01
-1.18868E-05,9.03320E-01
-1.18864E-05,7.56836E-01
-1.18860E-05,9.03320E-01
-1.18856E-05,7.08008E-01
-1.18852E-05,7.08008E-01
-1.18848E-05,6.10352E-01
-1.18844E-05,6.10352E-01
-1.18840E-05,5.61523E-01
-1.18836E-05,5.12695E-01
-1.18832E-05,4.63867E-01
-1.18828E-05,5.12695E-01
-1.18824E-05,4.63867E-01
-1.18820E-05,3.66211E-01
-1.18816E-05,5.12695E-01
-1.18812E-05,3.17383E-01
-1.18808E-05,2.68555E-01
-1.18804E-05,2.68555E-01
-1.18800E-05,2.68555E-01
-1.18796E-05,1.70898E-01
-1.18792E-05,1.70898E-01
-1.18788E-05,1.22070E-01
-1.18784E-05,2.68555E-01
-1.18780E-05,2.19727E-01
-1.18776E-05,2.68555E-01
-1.18772E-05,1.70898E-01
-1.18768E-05,2.44141E-02
-1.18764E-05,7.32422E-02
-1.18760E-05,1.70898E-01
-1.18756E-05,7.32422E-02
-1.18752E-05,2.19727E-01
-1.18748E-05,2.68555E-01
-1.18744E-05,3.17383E-01
-1.18740E-05,2.19727E-01
-1.18736E-05,2.19727E-01
-1.18732E-05,2.68555E-01
-1.18728E-05,3.17383E-01
-1.18724E-05,3.66211E-01
-1.18720E-05,3.17383E-01
-1.18716E-05,2.68555E-01
-1.18712E-05,4.15039E-01
-1.18708E-05,4.15039E-01
-1.18704E-05,3.66211E-01
-1.18700E-05,2.19727E-01
-1.18696E-05,2.68555E-01
-1.18692E-05,2.68555E-01
-1.18688E-05,1.70898E-01
-1.18684E-05,2.68555E-01
-1.18680E-05,1.70898E-01
-1.18676E-05,4.15039E-01
-1.18672E-05,1.70898E-01
-1.18668E-05,7.32422E-02
-1.18664E-05,1.22070E-01
-1.18660E-05,1.22070E-01
-1.18656E-05,3.17383E-01
-1.18652E-05,1.70898E-01
-1.18648E-05,2.19727E-01
-1.18644E-05,1.70898E-01
-1.18640E-05,2.68555E-01
-1.18636E-05,1.70898E-01
-1.18632E-05,7.32422E-02
-1.18628E-05,1.70898E-01
-1.18624E-05,2.19727E-01
-1.18620E-05,1.22070E-01
-1.18616E-05,7.32422E-02
-1.18612E-05,1.22070E-01
-1.18608E-05,1.22070E-01
-1.18604E-05,1.22070E-01
-1.18600E-05,1.22070E-01
-1.18596E-05,2.19727E-01
-1.18592E-05,2.68555E-01
-1.18588E-05,1.22070E-01
-1.18584E-05,2.68555E-01
-1.18580E-05,7.32422E-02
-1.18576E-05,1.22070E-01
-1.18572E-05,1.70898E-01
-1.18568E-05,2.19727E-01
-1.18564E-05,7.32422E-02
-1.18560E-05,2.19727E-01
-1.18556E-05,1.22070E-01
-1.18552E-05,1.22070E-01
-1.18548E-05,1.70898E-01
-1.18544E-05,1.70898E-01
-1.18540E-05,1.22070E-01
-1.18536E-05,1.70898E-01
-1.18532E-05,7.32422E-02
-1.18528E-05,1.70898E-01
-1.18524E-05,2.68555E-01
-1.18520E-05,4.63867E-01
-1.18516E-05,1.70898E-01
-1.18512E-05,7.32422E-02
-1.18508E-05,2.44141E-02
-1.18504E-05,1.22070E-01
-1.18500E-05,1.70898E-01
-1.18496E-05,2.19727E-01
-1.18492E-05,7.32422E-02
-1.18488E-05,1.70898E-01
-1.18484E-05,1.70898E-01
-1.18480E-05,1.70898E-01
-1.18476E-05,2.68555E-01
-1.18472E-05,7.32422E-02
-1.18468E-05,-2.44141E-02
-1.18464E-05,7.32422E-02
-1.18460E-05,1.70898E-01
-1.18456E-05,2.68555E-01
-1.18452E-05,7.32422E-02
-1.18448E-05,1.70898E-01
-1.18444E-05,-2.44141E-02
-1.18440E-05,1.22070E-01
-1.18436E-05,-2.44141E-02
-1.18432E-05,2.44141E-02
-1.18428E-05,1.22070E-01
-1.18424E-05,2.19727E-01
-1.18420E-05,7.32422E-02
-1.18416E-05,2.44141E-02
-1.18412E-05,7.32422E-02
-1.18408E-05,1.22070E-01
-1.18404E-05,2.44141E-02
-1.18400E-05,1.70898E-01
-1.18396E-05,2.68555E-01
-1.18392E-05,2.19727E-01
-1.18388E-05,7.32422E-02
-1.18384E-05,1.70898E-01
-1.18380E-05,2.19727E-01
-1.18376E-05,1.22070E-01
-1.18372E-05,2.68555E-01
-1.18368E-05,3.17383E-01
-1.18364E-05,1.70898E-01
-1.18360E-05,1.22070E-01
-1.18356E-05,1.70898E-01
-1.18352E-05,7.32422E-02
-1.18348E-05,1.22070E-01
-1.18344E-05,7.32422E-02
-1.18340E-05,-2.44141E-02
-1.18336E-05,1.70898E-01
-1.18332E-05,1.22070E-01
-1.18328E-05,2.19727E-01
-1.18324E-05,2.44141E-02
-1.18320E-05,1.22070E-01
-1.18316E-05,7.32422E-02
-1.18312E-05,1.22070E-01
-1.18308E-05,1.22070E-01
-1.18304E-05,1.70898E-01
-1.18300E-05,1.22070E-01
